sveitarfel,year,property_type,total_price,total_area,average_price_per_sqm
Akraneskaupstaður,2006,Fjölbýli,29900,148,202.02702702702703
Akraneskaupstaður,2007,Atvinnuhúsnæði,48000,226,212.38938053097345
Akraneskaupstaður,2007,Einbýli,33600,154,218.1818181818182
Akraneskaupstaður,2007,Fjölbýli,126000,609,206.89655172413794
Akraneskaupstaður,2007,Sérbýli,34150,157,217.51592356687897
Akraneskaupstaður,2008,Einbýli,51000,249,204.81927710843374
Akraneskaupstaður,2008,Fjölbýli,39800,170,234.11764705882354
Akraneskaupstaður,2008,Sérbýli,37000,131,282.44274809160305
Akraneskaupstaður,2009,Fjölbýli,17476,79,221.21518987341773
Akraneskaupstaður,2009,Sérbýli,33652,166,202.72289156626505
Akraneskaupstaður,2011,Fjölbýli,17300,85,203.52941176470588
Akraneskaupstaður,2012,Einbýli,62400,288,216.66666666666666
Akraneskaupstaður,2014,Atvinnuhúsnæði,212000,851,249.1186839012926
Akraneskaupstaður,2014,Einbýli,39500,196,201.53061224489795
Akraneskaupstaður,2014,Fjölbýli,96660,434,222.7188940092166
Akraneskaupstaður,2015,Einbýli,71710,349,205.47277936962752
Akraneskaupstaður,2015,Fjölbýli,56200,232,242.24137931034483
Akraneskaupstaður,2015,Sérbýli,61800,284,217.6056338028169
Akraneskaupstaður,2016,Atvinnuhúsnæði,375330,1254,299.3062200956938
Akraneskaupstaður,2016,Einbýli,304000,1327,229.0881688018086
Akraneskaupstaður,2016,Fjölbýli,67800,264,256.8181818181818
Akraneskaupstaður,2016,Sérbýli,145300,593,245.02529510961213
Akraneskaupstaður,2017,Einbýli,286318,1185,241.6185654008439
Akraneskaupstaður,2017,Fjölbýli,183800,769,239.01170351105333
Akraneskaupstaður,2018,Einbýli,207400,667,310.94452773613193
Akraneskaupstaður,2018,Fjölbýli,238600,862,276.79814385150814
Akraneskaupstaður,2018,Sérbýli,235900,774,304.78036175710594
Akraneskaupstaður,2019,Bílskúr/skúr,96400,272,354.4117647058824
Akraneskaupstaður,2019,Einbýli,333800,1109,300.99188458070336
Akraneskaupstaður,2019,Fjölbýli,1915500,6294,304.3374642516683
Akraneskaupstaður,2019,Sérbýli,499800,1285,388.94941634241246
Akraneskaupstaður,2020,Einbýli,804900,2477,324.94953572870406
Akraneskaupstaður,2020,Fjölbýli,858650,2625,327.1047619047619
Akraneskaupstaður,2020,Sérbýli,356200,1015,350.935960591133
Akraneskaupstaður,2021,Einbýli,525200,1571,334.3093570973902
Akraneskaupstaður,2021,Fjölbýli,985269,3028,325.38606340819024
Akraneskaupstaður,2021,Sérbýli,297300,723,411.2033195020747
Akraneskaupstaður,2022,Atvinnuhúsnæði,148000,603,245.43946932006634
Akraneskaupstaður,2022,Einbýli,955500,2047,466.780654616512
Akraneskaupstaður,2022,Fjölbýli,381000,832,457.9326923076923
Akraneskaupstaður,2022,Sérbýli,132500,301,440.19933554817277
Akraneskaupstaður,2023,Atvinnuhúsnæði,94300,280,336.7857142857143
