sveitarfel,year,property_type,price
Akraneskaupstaður           ,2006,Annað,31900.0
Akraneskaupstaður           ,2006,Atvinnuhúsnæði,56172.22222222222
Akraneskaupstaður           ,2006,Bílskúr/skúr,13000.0
Akraneskaupstaður           ,2006,Einbýli,26682.354838709678
Akraneskaupstaður           ,2006,Fjölbýli,15558.516129032258
Akraneskaupstaður           ,2006,Sérbýli,24760.0
Akraneskaupstaður           ,2007,Atvinnuhúsnæði,30435.0
Akraneskaupstaður           ,2007,Bílskúr/skúr,7750.0
Akraneskaupstaður           ,2007,Einbýli,26554.723076923077
Akraneskaupstaður           ,2007,Fjölbýli,17486.790076335878
Akraneskaupstaður           ,2007,Sérbýli,26366.324324324323
Akraneskaupstaður           ,2008,Atvinnuhúsnæði,41769.3125
Akraneskaupstaður           ,2008,Bílskúr/skúr,18400.0
Akraneskaupstaður           ,2008,Einbýli,25026.666666666668
Akraneskaupstaður           ,2008,Fjölbýli,197952.65486725664
Akraneskaupstaður           ,2008,Sérbýli,26981.25
Akraneskaupstaður           ,2009,Atvinnuhúsnæði,15221.42857142857
Akraneskaupstaður           ,2009,Bílskúr/skúr,500.0
Akraneskaupstaður           ,2009,Einbýli,26845.04761904762
Akraneskaupstaður           ,2009,Fjölbýli,18213.428571428572
Akraneskaupstaður           ,2009,Sérbýli,23034.0
Akraneskaupstaður           ,2010,Atvinnuhúsnæði,15788.888888888889
Akraneskaupstaður           ,2010,Einbýli,24409.470588235294
Akraneskaupstaður           ,2010,Fjölbýli,56700.62
Akraneskaupstaður           ,2010,Sérbýli,23737.5
Akraneskaupstaður           ,2011,Atvinnuhúsnæði,27908.384615384617
Akraneskaupstaður           ,2011,Einbýli,27869.39285714286
Akraneskaupstaður           ,2011,Fjölbýli,16161.472222222223
Akraneskaupstaður           ,2011,Sérbýli,24025.615384615383
Akraneskaupstaður           ,2012,Atvinnuhúsnæði,22626.666666666668
Akraneskaupstaður           ,2012,Einbýli,19996.891891891893
Akraneskaupstaður           ,2012,Fjölbýli,13855.115942028986
Akraneskaupstaður           ,2012,Sérbýli,25759.52380952381
Akraneskaupstaður           ,2013,Atvinnuhúsnæði,25637.263157894737
Akraneskaupstaður           ,2013,Einbýli,24296.372093023256
Akraneskaupstaður           ,2013,Fjölbýli,57663.38636363636
Akraneskaupstaður           ,2013,Sérbýli,24708.23076923077
Akraneskaupstaður           ,2014,Atvinnuhúsnæði,52950.0
Akraneskaupstaður           ,2014,Einbýli,30791.6875
Akraneskaupstaður           ,2014,Fjölbýli,31344.847826086956
Akraneskaupstaður           ,2014,Sérbýli,25735.04
Akraneskaupstaður           ,2015,Atvinnuhúsnæði,15940.625
Akraneskaupstaður           ,2015,Bílskúr/skúr,3500.0
