Sveitarfélag	Aldur	Ár	Kyn	Mannfjöldi eftir sveitarfélagi, kyni og aldri 1. janúar 1998-2024
Reykjavíkurborg	Alls	2006	Alls	114968
Reykjavíkurborg	Alls	2007	Alls	116642
Reykjavíkurborg	Alls	2008	Alls	118827
Reykjavíkurborg	Alls	2009	Alls	119547
Reykjavíkurborg	Alls	2010	Alls	118326
Reykjavíkurborg	Alls	2011	Alls	115394
Reykjavíkurborg	Alls	2012	Alls	115555
Reykjavíkurborg	Alls	2013	Alls	116622
Reykjavíkurborg	Alls	2014	Alls	118192
Reykjavíkurborg	Alls	2015	Alls	118789
Reykjavíkurborg	Alls	2016	Alls	119266
Reykjavíkurborg	Alls	2017	Alls	120513
Reykjavíkurborg	Alls	2018	Alls	123141
Reykjavíkurborg	Alls	2019	Alls	125360
Reykjavíkurborg	Alls	2020	Alls	126549
Reykjavíkurborg	Alls	2021	Alls	128610
Reykjavíkurborg	Alls	2022	Alls	130638
Reykjavíkurborg	Alls	2023	Alls	134298
Reykjavíkurborg	Alls	2024	Alls	136894
Kópavogsbær	Alls	2006	Alls	26512
Kópavogsbær	Alls	2007	Alls	27525
Kópavogsbær	Alls	2008	Alls	28885
Kópavogsbær	Alls	2009	Alls	29976
Kópavogsbær	Alls	2010	Alls	30357
Kópavogsbær	Alls	2011	Alls	30255
Kópavogsbær	Alls	2012	Alls	30669
Kópavogsbær	Alls	2013	Alls	31201
Kópavogsbær	Alls	2014	Alls	31766
Kópavogsbær	Alls	2015	Alls	32621
Kópavogsbær	Alls	2016	Alls	33537
Kópavogsbær	Alls	2017	Alls	34661
Kópavogsbær	Alls	2018	Alls	35369
Kópavogsbær	Alls	2019	Alls	36295
Kópavogsbær	Alls	2020	Alls	37036
Kópavogsbær	Alls	2021	Alls	37500
Kópavogsbær	Alls	2022	Alls	38056
Kópavogsbær	Alls	2023	Alls	38770
Kópavogsbær	Alls	2024	Alls	39335
Seltjarnarnesbær	Alls	2006	Alls	4471
Seltjarnarnesbær	Alls	2007	Alls	4471
Seltjarnarnesbær	Alls	2008	Alls	4454
Seltjarnarnesbær	Alls	2009	Alls	4403
Seltjarnarnesbær	Alls	2010	Alls	4395
Seltjarnarnesbær	Alls	2011	Alls	4189
Seltjarnarnesbær	Alls	2012	Alls	4197
Seltjarnarnesbær	Alls	2013	Alls	4219
Seltjarnarnesbær	Alls	2014	Alls	4294
Seltjarnarnesbær	Alls	2015	Alls	4308
Seltjarnarnesbær	Alls	2016	Alls	4319
Seltjarnarnesbær	Alls	2017	Alls	4364
Seltjarnarnesbær	Alls	2018	Alls	4486
Seltjarnarnesbær	Alls	2019	Alls	4565
Seltjarnarnesbær	Alls	2020	Alls	4593
Seltjarnarnesbær	Alls	2021	Alls	4590
Seltjarnarnesbær	Alls	2022	Alls	4573
Seltjarnarnesbær	Alls	2023	Alls	4540
Seltjarnarnesbær	Alls	2024	Alls	4572
Garðabær	Alls	2006	Alls	11649
Garðabær	Alls	2007	Alls	11832
Garðabær	Alls	2008	Alls	12360
Garðabær	Alls	2009	Alls	12876
Garðabær	Alls	2010	Alls	13166
Garðabær	Alls	2011	Alls	13147
Garðabær	Alls	2012	Alls	13407
Garðabær	Alls	2013	Alls	13589
Garðabær	Alls	2014	Alls	13904
Garðabær	Alls	2015	Alls	14213
Garðabær	Alls	2016	Alls	14442
Garðabær	Alls	2017	Alls	14965
Garðabær	Alls	2018	Alls	15449
Garðabær	Alls	2019	Alls	16015
Garðabær	Alls	2020	Alls	16624
Garðabær	Alls	2021	Alls	17353
Garðabær	Alls	2022	Alls	18047
Garðabær	Alls	2023	Alls	18509
Garðabær	Alls	2024	Alls	19088
Hafnarfjarðarkaupstaður	Alls	2006	Alls	22498
Hafnarfjarðarkaupstaður	Alls	2007	Alls	23751
Hafnarfjarðarkaupstaður	Alls	2008	Alls	25036
Hafnarfjarðarkaupstaður	Alls	2009	Alls	25850
Hafnarfjarðarkaupstaður	Alls	2010	Alls	25913
Hafnarfjarðarkaupstaður	Alls	2011	Alls	25658
Hafnarfjarðarkaupstaður	Alls	2012	Alls	26030
Hafnarfjarðarkaupstaður	Alls	2013	Alls	26393
Hafnarfjarðarkaupstaður	Alls	2014	Alls	26891
Hafnarfjarðarkaupstaður	Alls	2015	Alls	27393
Hafnarfjarðarkaupstaður	Alls	2016	Alls	27696
Hafnarfjarðarkaupstaður	Alls	2017	Alls	28270
Hafnarfjarðarkaupstaður	Alls	2018	Alls	28965
Hafnarfjarðarkaupstaður	Alls	2019	Alls	29227
Hafnarfjarðarkaupstaður	Alls	2020	Alls	29266
Hafnarfjarðarkaupstaður	Alls	2021	Alls	29018
Hafnarfjarðarkaupstaður	Alls	2022	Alls	29047
Hafnarfjarðarkaupstaður	Alls	2023	Alls	29806
Hafnarfjarðarkaupstaður	Alls	2024	Alls	30616
Mosfellsbær	Alls	2006	Alls	7165
Mosfellsbær	Alls	2007	Alls	7516
Mosfellsbær	Alls	2008	Alls	8192
Mosfellsbær	Alls	2009	Alls	8403
Mosfellsbær	Alls	2010	Alls	8553
Mosfellsbær	Alls	2011	Alls	8474
Mosfellsbær	Alls	2012	Alls	8706
Mosfellsbær	Alls	2013	Alls	8855
Mosfellsbær	Alls	2014	Alls	8955
