Tími;Vísitala
1994M01;173,5
1994M02;173,7
1994M03;173,9
1994M04;174,1
1994M05;173,7
1994M06;173,9
1994M07;174,2
1994M08;174,4
1994M09;175,1
1994M10;174,7
1994M11;174,5
1994M12;174,4
1995M01;175,3
1995M02;175,6
1995M03;175,2
1995M04;175,3
1995M05;175,7
1995M06;175,9
1995M07;176,5
1995M08;177,3
1995M09;178,0
1995M10;179,0
1995M11;178,2
1995M12;178,2
1996M01;179,1
1996M02;179,7
1996M03;180,1
1996M04;180,3
1996M05;181,5
1996M06;181,3
1996M07;181,6
1996M08;182,6
1996M09;182,7
1996M10;182,8
1996M11;182,8
1996M12;182,1
1997M01;182,5
1997M02;182,7
1997M03;182,7
1997M04;184,1
1997M05;183,7
1997M06;183,9
1997M07;184,2
1997M08;184,7
1997M09;185,5
1997M10;186,3
1997M11;186,0
1997M12;185,8
1998M01;186,3
1998M02;186,0
1998M03;186,6
1998M04;186,5
1998M05;187,2
1998M06;187,5
1998M07;186,8
1998M08;185,6
1998M09;185,8
1998M10;186,5
1998M11;187,0
1998M12;186,4
1999M01;187,3
1999M02;187,0
1999M03;187,8
1999M04;188,3
1999M05;189,5
1999M06;190,6
1999M07;191,0
1999M08;191,6
1999M09;192,8
1999M10;194,1
1999M11;194,1
1999M12;194,5
2000M01;195,4
2000M02;194,7
2000M03;195,7
2000M04;196,7
2000M05;197,1
2000M06;197,7
2000M07;198,9
2000M08;197,6
2000M09;197,9
2000M10;200,1
2000M11;200,5
2000M12;200,3
2001M01;201,0
2001M02;201,1
2001M03;202,5
2001M04;205,0
2001M05;208,0
2001M06;211,7
2001M07;213,5
2001M08;214,1
2001M09;215,7
2001M10;217,3
2001M11;218,1
2001M12;219,1
2002M01;221,0
2002M02;220,2
2002M03;221,2
2002M04;220,8
2002M05;220,7
2002M06;221,8
2002M07;221,8
2002M08;220,2
2002M09;221,1
2002M10;222,4
2002M11;221,7
2002M12;221,4
2003M01;221,7
2003M02;220,9
2003M03;223,3
2003M04;223,3
2003M05;222,6
2003M06;222,6
2003M07;221,8
2003M08;221,0
2003M09;222,7
2003M10;223,7
2003M11;224,1
2003M12;224,7
2004M01;224,5
2004M02;223,5
2004M03;224,9
2004M04;225,9
2004M05;227,4
2004M06;228,7
2004M07;227,7
2004M08;227,3
2004M09;228,2
2004M10;229,8
2004M11;229,8
2004M12;230,5
2005M01;229,2
2005M02;228,6
2005M03;229,4
2005M04;228,3
2005M05;227,4
2005M06;228,2
2005M07;227,9
2005M08;227,5
2005M09;231,4
2005M10;232,5
2005M11;231,5
2005M12;232,0
2006M01;231,5
2006M02;230,9
2006M03;233,6
2006M04;236,1
2006M05;239,6
2006M06;242,0
2006M07;243,0
2006M08;243,7
2006M09;245,2
2006M10;245,6
2006M11;245,0
2006M12;245,0
2007M01;245,3
2007M02;245,3
2007M03;243,2
2007M04;243,7
2007M05;245,7
2007M06;246,2
2007M07;245,9
2007M08;245,0
2007M09;247,8
2007M10;248,7
2007M11;249,7
2007M12;251,4
2008M01;251,0
2008M02;254,9
2008M03;258,7
2008M04;269,6
2008M05;273,6
2008M06;275,9
2008M07;278,3
2008M08;280,8
2008M09;284,3
2008M10;292,9
2008M11;298,3
2008M12;303,4
2009M01;304,7
2009M02;308,5
2009M03;309,0
2009M04;311,6
2009M05;316,1
2009M06;322,1
2009M07;323,9
2009M08;326,1
2009M09;328,9
2009M10;332,5
2009M11;335,7
2009M12;337,8
2010M01;337,9
2010M02;342,4
2010M03;346,0
2010M04;346,9
2010M05;347,9
2010M06;346,3
2010M07;343,6
2010M08;344,9
2010M09;344,9
2010M10;347,7
2010M11;348,0
2010M12;349,5
2011M01;346,1
2011M02;350,1
2011M03;353,9
2011M04;356,2
2011M05;358,8
2011M06;360,7
2011M07;359,9
2011M08;361,2
2011M09;363,9
2011M10;365,0
2011M11;364,4
2011M12;365,7
2012M01;365,9
2012M02;371,1
2012M03;375,9
2012M04;378,7
2012M05;378,4
2012M06;380,7
2012M07;376,9
2012M08;376,6
2012M09;380,3
2012M10;382,1
2012M11;383,5
2012M12;383,3
2013M01;384,1
2013M02;391,9
2013M03;392,5
2013M04;392,0
2013M05;391,3
2013M06;393,6
2013M07;391,2
2013M08;392,6
2013M09;394,2
2013M10;393,7
2013M11;394,5
2013M12;395,8
2014M01;391,5
2014M02;394,9
2014M03;395,8
2014M04;396,0
2014M05;395,7
2014M06;397,6
2014M07;396,7
2014M08;397,4
2014M09;395,7
2014M10;395,8
2014M11;393,4
2014M12;394,3
2015M01;389,2
2015M02;391,4
2015M03;395,4
2015M04;395,6
2015M05;396,8
2015M06;398,2
2015M07;398,3
2015M08;400,3
2015M09;397,8
2015M10;397,0
2015M11;394,7
2015M12;395,8
2016M01;391,6
2016M02;394,3
2016M03;396,1
2016M04;396,5
2016M05;397,8
2016M06;398,2
2016M07;396,0
2016M08;396,5
2016M09;396,1
2016M10;395,0
2016M11;393,4
2016M12;392,7
2017M01;388,0
2017M02;390,3
2017M03;389,2
2017M04;389,2
2017M05;387,6
2017M06;386,0
2017M07;383,8
2017M08;384,5
2017M09;383,7
2017M10;386,1
2017M11;384,2
2017M12;386,6
2018M01;384,4
2018M02;386,7
2018M03;388,1
2018M04;388,4
2018M05;388,3
2018M06;390,1
2018M07;389,1
2018M08;389,5
2018M09;390,5
2018M10;392,8
2018M11;393,5
2018M12;397,2
2019M01;394,3
2019M02;394,9
2019M03;397,5
2019M04;399,4
2019M05;400,2
2019M06;401,7
2019M07;400,0
2019M08;401,6
2019M09;402,0
2019M10;402,9
2019M11;402,9
2019M12;404,0
2020M01;400,5
2020M02;404,3
2020M03;404,7
2020M04;407,0
2020M05;410,6
2020M06;412,7
2020M07;413,4
2020M08;415,3
2020M09;417,5
2020M10;419,3
2020M11;419,7
2020M12;420,3
2021M01;419,3
2021M02;422,5
2021M03;424,3
2021M04;425,9
2021M05;426,9
2021M06;427,5
2021M07;427,3
2021M08;429,0
2021M09;429,8
2021M10;431,8
2021M11;432,5
2021M12;434,1
2022M01;434,8
2022M02;440,3
2022M03;443,9
2022M04;448,3
2022M05;450,2
2022M06;455,1
2022M07;459,4
2022M08;459,6
2022M09;460,0
2022M10;463,0
2022M11;463,3
2022M12;466,8
2023M01;470,9
2023M02;479,4
2023M03;481,9
2023M04;487,1
2023M05;487,8
2023M06;491,1
2023M07;492,1
2023M08;494,5
2023M09;495,4
2023M10;496,8
2023M11;496,6
2023M12;497,9
2024M01;495,4
2024M02;502,0
2024M03;504,4
2024M04;505,9
2024M05;508,5
2024M06;510,6
2024M07;512,9
2024M08;512,1
2024M09;509,3
2024M10;510,8
;
"Grunnur maí 1988 = 100. 
Frá janúar 2008 miðast vísitalan við verðlag í að minnsta kosti vikutíma í kringum miðjan mánuð en fyrir þann tíma var vísitalan miðuð við verðlag tvo fyrstu virka daga hvers mánaðar.

Prósentubreytingar eru reiknaðar út frá vísitölugildum með einum aukastaf.";
Mánuður:;
2022M06:;
Hækkun á flugfargjöldum til útlanda (07332) í júní 2022 var vanmetin en leiðrétt við næstu mælingu.;
;
Mánuður:;
2022M07:;
Hækkun á flugfargjöldum til útlanda (07332) í júlí 2022 er komin til vegna verðhækkunar í þeim mánuði (0,43% áhrif), en einnig vegna vanmats á verðlagsáhrifum við mælingu í júní 2022 (0,29% áhrif).;
;
Vísitala:;
Vísitala neysluverðs án húsnæðis:;
Vísitalan án húsnæðis er án greiddrar og reiknaðrar leigu (liða 041 og 042), viðhalds og viðgerða á húsnæði (043) og án annarra gjalda v/húsnæðis (044).;
;
;
Síðast uppfært:;
20241030 09:00;
;
;
;
Höfundaréttur;
;
Eining:;
Vísitölur og hlutföll;
;
;
Viðmiðunartími:;
1988-;
;
;
;
;
;
;
;
Töflukóði:;
VIS01000;
