Ár;Mánuður;Visitala_heild;Visitala_serb;Vísitala_fjölb
1994;1;100;100;100
1994;2;99,7;88,6;102,5
1994;3;102;96,6;103,6
1994;4;100,8;94,5;102,7
1994;5;99,8;93,6;101,6
1994;6;101,9;99,2;102,8
1994;7;101;97,6;102,1
1994;8;99,3;94,9;100,6
1994;9;99;93,1;100,9
1994;10;98,6;92,6;100,5
1994;11;98,5;94;99,9
1994;12;99,4;92,8;101,3
1995;1;96,5;95,9;96,9
1995;2;96;90,5;97,8
1995;3;97,4;91,2;99,4
1995;4;98,3;94,4;99,8
1995;5;95,4;91,1;97
1995;6;97,2;92,6;98,9
1995;7;95,9;88,6;98,4
1995;8;95,8;93,9;96,8
1995;9;97,2;94,6;98,4
1995;10;96,5;93,9;97,7
1995;11;96,6;93,1;98,2
1995;12;93,8;89,5;95,6
1996;1;94,6;91,9;95,9
1996;2;95,4;87,5;98,2
1996;3;95,2;89,5;97,3
1996;4;96,1;91,4;97,9
1996;5;95,9;92,2;97,3
1996;6;97;92,3;98,7
1996;7;97,8;93,4;99,5
1996;8;99;92,7;101,3
1996;9;96,2;89,8;98,5
1996;10;96,9;94,1;98,1
1996;11;96;91,6;97,9
1996;12;98,2;90,8;101
1997;1;96,2;91;98,4
1997;2;97,3;91,8;99,6
1997;3;97,3;93,5;99
1997;4;99,6;96;101,3
1997;5;98,9;96,4;100,3
1997;6;99,1;95,4;100,9
1997;7;98,8;96,7;100
1997;8;98,6;95;100,3
1997;9;98,1;91,5;100,9
1997;10;99,9;95,1;102,1
1997;11;100;98,1;101,2
1997;12;100;97,5;101,5
1998;1;100,7;98,1;102,2
1998;2;102,5;95,5;105,6
1998;3;103,3;99,3;105,4
1998;4;104,2;99,9;106,4
1998;5;104,6;101,3;106,5
1998;6;105;98,8;108
1998;7;105;102,2;106,8
1998;8;105,4;103,4;106,9
1998;9;108,1;105,6;109,9
1998;10;107,1;107,8;107,8
1998;11;106,4;103;108,5
1998;12;107,9;108,5;108,6
1999;1;110,8;109,1;112,4
1999;2;112;110,4;113,5
1999;3;115,2;115,7;116
1999;4;116,6;117,1;117,4
1999;5;119,3;117,5;120,9
1999;6;121,6;120,6;122,9
1999;7;125,1;120,2;127,8
